date,content,type,word
1478818812,それぞれ見せ場あるの最高かな？？？,nan,nan
1479741376,思い出にしがみつく…お嬢の言葉かな？,nan,nan
1478788762,川越街道のところかな？,nan,nan
1478739053,この前BS日テレでゲーム音楽特集やっててそれにＭＯＴＨＥＲの曲も流れてたけど、うp主は見たかな？,nan,nan
1478783189,駅の広告の事かな？,nan,nan
1478761770,ジムコマンドかな？,nan,nan
1532824854,チンチクリン・・・サイ・サイシーの偽名かな？（違,nan,nan
1479654625,103とか201とか115なんかより全然静かだと思うが…205や211より若干賑やかかな？,nan,nan
1478693979,演舞かな？,nan,nan
1479433060,工事現場のアレかな？(｀･ω－)▄︻┻┳═一,nan,nan
1478785315,トリガーハッピーかな？,nan,nan
1478786781,セーフガードの職員かな？（ＢＬＡＭＥ！並感）,nan,nan
1478865153,左端のはイタリア編に出てきた奴らかな？,nan,nan
1480835522,大阪編かな？,nan,nan
1487595032,さっきニキの内番の袖出したときにひっかけたのかな？,nan,nan
1479581354,これなんのSE、BGMでしたかな？ｗｗｗｗ,nan,nan
1483034139,初代EDかな？,nan,nan
1479732583,及川の前髪かな？がこきざみに揺れとるw,nan,nan
1478798789,ダメンズかな？,nan,nan
1478803699,メゾン・ド・魔王かな？,nan,nan
1478795900,一応腰の近くにコアが弱点かな？,nan,nan
1478864448,アヒルボート乗りたかったのかな？,nan,nan
1478864598,にどみんかな？,nan,nan
1478868616,ソロプレイかな？,nan,nan
1478868977,マイクオンかな？,nan,nan
1478870156,タイムアタックかな？,nan,nan
1478875406,観光ツアーかな？,nan,nan
1478919920,山椒魚かな？,nan,nan
1478920791,ブレイクコアかな？,nan,nan
1478926078,プラクティスかな？,nan,nan
1478948547,癒し動画かな？,nan,nan
1479005932,ダブステップかな？,nan,nan
1479049766,マリオピンボールかな？,nan,nan
1480242441,前ボタンおしちゃってるのかな？,nan,nan
1485183455,練習動画かな？,nan,nan
1489813344,星でスピードアップしたからやないのかな？,nan,nan
1506152169,ディレイかな？,nan,nan
1514858128,一人でレースしてるのかな？,nan,nan
1479158872,初見殺しかな？,nan,nan
1478778932,バサスロットかな？,nan,nan
1478778939,模倣かな？,nan,nan
1478778963,てことは、暁型は艦娘純粋な力がかなり強いってことかな？,nan,nan
1478780046,もともと電は自分を兵器として扱っていて、提督の能力でブーストされてた。そのガンダールヴ的な名残かな？,nan,nan
1478798131,シールドセージかな？,nan,nan
1478851492,←PKビームγかな？,nan,nan
1478967716,上書きというか変換と言うべきかな？,nan,nan
1478963465,←前田のことかな？ʬʬʬʬ,nan,nan
1479231259,か、釜玉うどんかな？,nan,nan
1480518143,離乳食かな？？？？,nan,nan
1480871214,←カレー(つゆ)は出汁で伸ばしてるんじゃないかな？,nan,nan
1482078978,お粥かな？wwwwww,nan,nan
1494766196,プリンと柑橘系一緒じゃんw　プリンと柑橘…ババロアか杏仁豆腐かな？w,nan,nan
1502557058,立ち食いソバ屋のメニューかな？ｗｗｗ,nan,nan
1503646158,牧のうどんの軟めんかな？（福岡県民）,nan,nan
1507620563,離乳食かな？？？,nan,nan
1517020088,デザートかな？？,nan,nan
1479163119,それは本当に草刈りかな？チェーンソーじゃないかな？,nan,nan
1478915212,GTカラーかな？w,nan,nan
1478729400,携帯でみてるのかな？ｗ,nan,nan
1484541970,金城かな？,nan,nan
1478786688,消費者にとって一番いいのは海外と同じく回線と端末を分けて販売してくれることじゃないかな？その分端末の故障とかは消費者自身で行わないといけないけど・・・,nan,nan
1490559624,オ○マケアかな？,nan,nan
1512388346,カルテルかな？,nan,nan
1499853589,無礼者かな？,nan,nan
1505396301,社内ではあはごんがかなり強キャラなので、困らせられるトラブルメーカーのねねっちが必要だったのかな？,nan,nan
1478877864,単発動画かな？,nan,nan
1478881469,帰国子女かな？,nan,nan
1487255589,オセロかな？,nan,nan
1478715873,サビが葛平さんかな？良い声だ,nan,nan
1479163419,蟹座かな？,nan,nan
1479526617,砲術師の火力がいくらあれば足りるのかな？,nan,nan
1478744895,精神崩壊かな？,nan,nan
1501010274,up主はRTSが苦手なタイプかな？ｗ,nan,nan
1478776655,スチルイベントのことかな？もちろん、ありますよｗ,nan,nan
1478823471,聚楽第はちと厳しいから現実的に考えると小牧山城改一かな？,nan,nan
1479212427,ネオン輝く方かな？,nan,nan
1479230814,デビルマンかな？,nan,nan
1480248618,かな？,nan,nan
1480250755,騙され王子かな？,nan,nan
1480238040,SSR衣装かな？,nan,nan
1478693465,もしかしてみんな、必ず倒せる威力の技なのかな？,nan,nan
1478944752,野良トウモロコシなら平原になかったかな？,nan,nan
1482087570,ハルトマンかな？,nan,nan
1485529701,ガンダムかな？,nan,nan
1486128508,DUST514かな？,nan,nan
1496584194,腹ワタをみんなで引きずり出すマフィアの見せしめかな？,nan,nan
1496980961,悪魔のZかな？,nan,nan
1478787603,零はだいぶ先かな？,nan,nan
1478735508,豆腐よりは硬いからからチーズ装甲かな？,nan,nan
1508292458,CGC？スーパーかな？,nan,nan
1479741216,ノーカットってことはこれで倒すのかな？,nan,nan
1478839767,神台かな？,nan,nan
1479526769,万発いったかな？,nan,nan
1478706980,ダクネスがダグネスになってるから気になるなぁ、元からなのかな？,nan,nan
1478707800,キルビジかな？,nan,nan
1478707857,動画的には単純な方が映えるかな？おもしろそうだけど,nan,nan
1478724109,光源氏かな？,nan,nan
1478724387,ワンダーコアのCMかな？,nan,nan
1478759329,インド映画かな？,nan,nan
1479533268,披露院さんかな？,nan,nan
1479673861,セブンスドラゴンかな？,nan,nan
1482844446,シノビガミかな？,nan,nan
1516182492,帝督さんGMかな？,nan,nan
1516497055,フロワロかな？,nan,nan
1528082839,1人の意見を3人が論破出来なかったってイメージになるのかな？,nan,nan
1533395146,ガウォークかな？,nan,nan
1535777142,帝督さんシナリオかな？,nan,nan
1479306665,同じ空の　色なのかな？,nan,nan
1478770739,ガイジかな？,nan,nan
1478773718,シーリスかな？,nan,nan
1478774558,アメリカ国民かな？,nan,nan
1478780088,次回来年ってDLC第二弾のことかな？,nan,nan
1478780479,GUCCIかな？,nan,nan
1478781525,フラグかな？,nan,nan
1478784675,明治維新みたいな感じでいいのかな？,nan,nan
1478784915,亡者かな？,nan,nan
1478790508,ゼノかな？,nan,nan
